,tconst,nconst,category
199,tt0112384,nm0000165,director
200,tt0120623,nm0005124,director
201,tt0077651,nm0000118,director
202,tt0120611,nm0635759,director
203,tt0121164,nm0000318,director
204,tt0121164,nm0425843,director
205,tt0077631,nm0459170,director
206,tt0170016,nm0000165,director
207,tt0089218,nm0001149,director
208,tt0120669,nm0000416,director
209,tt0120812,nm0711840,director
210,tt0203009,nm0525303,director
211,tt0196229,nm0001774,director
212,tt0112442,nm0000881,director
213,tt0212985,nm0000631,director
214,tt0187393,nm0000386,director
215,tt0187078,nm0784061,director
216,tt0107614,nm0001060,director
217,tt0181875,nm0001081,director
218,tt0118884,nm0000709,director
219,tt0175142,nm0005540,director
220,tt0097757,nm0166256,director
221,tt0097757,nm0615780,director
222,tt0185937,nm0617130,director
223,tt0185937,nm0844896,director
224,tt0099348,nm0000126,director
225,tt0104257,nm0001661,director
226,tt0120804,nm0027271,director
227,tt0151804,nm0431918,director
228,tt0095765,nm0868153,director
229,tt0116695,nm0001081,director
230,tt0061722,nm0001566,director
231,tt0183649,nm0001708,director
232,tt0093870,nm0000682,director
233,tt0195714,nm0939128,director
234,tt0111503,nm0000116,director
235,tt0118749,nm0000759,director
236,tt0070735,nm0001351,director
237,tt0083944,nm0467646,director
238,tt0059578,nm0001466,director
239,tt0093409,nm0001149,director
240,tt0215750,nm0000269,director
241,tt0075686,nm0000095,director
242,tt0221027,nm0001130,director
243,tt0102057,nm0000229,director
244,tt0072890,nm0001486,director
245,tt0118583,nm0000466,director
246,tt0172156,nm0000881,director
247,tt0113189,nm0132709,director
248,tt0119643,nm0000976,director
249,tt0082096,nm0000583,director
250,tt0087800,nm0000127,director
251,tt0112462,nm0001708,director
252,tt0243155,nm0536632,director
253,tt0059742,nm0936404,director
254,tt0080339,nm0000720,director
255,tt0080339,nm0001878,director
256,tt0080339,nm0958387,director
257,tt0080678,nm0000186,director
258,tt0092890,nm0001915,director
259,tt0057115,nm0836328,director
260,tt0120660,nm0001716,director
261,tt0107818,nm0001129,director
262,tt0119282,nm0166256,director
263,tt0119282,nm0615780,director
264,tt0118655,nm0005366,director
265,tt0250494,nm0525659,director
266,tt0108550,nm0002120,director
267,tt0087363,nm0001102,director
268,tt0163978,nm0000965,director
269,tt0116483,nm0240797,director
270,tt0245712,nm0327944,director
271,tt0112697,nm0002132,director
272,tt0134119,nm0005237,director
273,tt0110632,nm0000231,director
274,tt0134847,nm0878638,director
275,tt0183505,nm0125803,director
276,tt0183505,nm0268380,director
277,tt0120855,nm0118333,director
278,tt0120855,nm0510674,director
279,tt0117381,nm0387706,director
280,tt0144117,nm0240627,director
281,tt0087538,nm0000814,director
282,tt0145660,nm0005366,director
283,tt0123755,nm0622112,director
284,tt0098635,nm0001661,director
285,tt0103874,nm0000338,director
286,tt0116996,nm0000318,director
287,tt0117509,nm0525303,director
288,tt0108399,nm0001716,director
289,tt0094737,nm0001508,director
290,tt0100157,nm0001661,director
291,tt0063522,nm0000591,director
292,tt0099653,nm0958387,director
293,tt0117665,nm0001469,director
294,tt0083987,nm0000277,director
295,tt0187738,nm0868219,director
296,tt0117998,nm0000957,director
297,tt0142342,nm0240797,director
298,tt0058461,nm0001466,director
299,tt0083907,nm0000600,director
300,tt0112281,nm0644203,director
301,tt0129167,nm0083348,director
302,tt0210945,nm0945026,director
303,tt0106519,nm0000361,director
304,tt0079817,nm0000230,director
305,tt0138097,nm0006960,director
306,tt0212346,nm0677953,director
307,tt0133152,nm0000318,director
308,tt0079501,nm0004306,director
309,tt0109445,nm0003620,director
310,tt0128853,nm0001188,director
311,tt0067992,nm0835799,director
312,tt0120917,nm0227540,director
313,tt0097958,nm0154819,director
314,tt0246460,nm0848414,director
315,tt0120655,nm0003620,director
316,tt0089927,nm0000230,director
317,tt0097428,nm0718645,director
318,tt0064115,nm0001351,director
319,tt0094898,nm0000484,director
320,tt0195685,nm0001752,director
321,tt0207201,nm0583600,director
322,tt0103772,nm0000682,director
323,tt0101540,nm0000217,director
324,tt0181865,nm0001752,director
325,tt0075860,nm0000229,director
326,tt0146316,nm0922346,director
327,tt0096438,nm0000709,director
