,tconst,nconst,category
7392,tt0119687,nm0442905,director
7393,tt0088818,nm0000877,director
7394,tt0086846,nm0770918,director
7395,tt0076670,nm0908103,director
7396,tt0078320,nm0572132,director
7397,tt0093349,nm0000419,director
7398,tt0062092,nm0491626,director
7399,tt0061696,nm0364252,director
7400,tt0054358,nm0279807,director
7401,tt0113748,nm0181170,director
7402,tt0093393,nm0418746,director
7403,tt0054230,nm0612322,director
7404,tt0119623,nm0069342,director
7405,tt0057556,nm0467396,director
7406,tt0073634,nm0521334,director
7407,tt0177845,nm0343503,director
7408,tt0088758,nm0004305,director
7409,tt0114774,nm0166394,director
7410,tt0114774,nm0730237,director
7411,tt0100065,nm0748928,director
7412,tt0074524,nm0088397,director
7413,tt0062645,nm0824216,director
7414,tt0063636,nm0281865,director
7415,tt0060722,nm0349425,director
7416,tt0056424,nm0202681,director
7417,tt0062144,nm0164999,director
7418,tt0069989,nm0281507,director
7419,tt0102855,nm0001348,director
7420,tt0053900,nm0346436,director
7421,tt0065989,nm0002089,director
7422,tt0054413,nm0173728,director
7423,tt0125522,nm0464180,director
7424,tt0078477,nm0420383,director
7425,tt0078477,nm0452780,director
7426,tt0074080,nm0147251,director
7427,tt0074080,nm0780944,director
7428,tt0067162,nm0000736,director
7429,tt0089477,nm0076175,director
7430,tt0074539,nm0678963,director
7431,tt0060865,nm0414672,director
7432,tt0060865,nm0610303,director
7433,tt0113982,nm0123009,director
7434,tt0060228,nm0002195,director
7435,tt0096218,nm0534665,director
7436,tt0087006,nm0429958,director
7437,tt0079429,nm0853546,director
7438,tt0091192,nm0343630,director
7439,tt0054343,nm0467396,director
7440,tt0077807,nm0682757,director
7441,tt0082958,nm0006854,director
7442,tt0066001,nm0682757,director
7443,tt0054446,nm0851537,director
7444,tt0074703,nm0548769,director
7445,tt0089715,nm0000265,director
7446,tt0065026,nm0179281,director
7447,tt0086902,nm0290877,director
7448,tt0062977,nm0001239,director
7449,tt0083552,nm0451891,director
7450,tt0105885,nm0237292,director
7451,tt0064787,nm0502391,director
7452,tt0090249,nm0655870,director
7453,tt0115479,nm0264967,director
7454,tt0065620,nm0459426,director
7455,tt0100586,nm0136592,director
7456,tt0077698,nm0125111,director
7457,tt0053802,nm0671862,director
7458,tt0196723,nm0443329,director
7459,tt0074706,nm0588964,director
7460,tt0090948,nm0145376,director
7461,tt0105103,nm0676361,director
7462,tt0115638,nm0596850,director
7463,tt0080605,nm0283500,director
7464,tt0094596,nm0106924,director
7465,tt0077272,nm0396421,director
7466,tt0235553,nm1007344,director
7467,tt0235553,nm0708870,director
7468,tt0060801,nm0745866,director
7469,tt0171357,nm0386303,director
7470,tt0076068,nm0081217,director
7471,tt0110770,nm0413465,director
7472,tt0093144,nm0847796,director
7473,tt0218616,nm0148116,director
7474,tt0119772,nm0103622,director
7475,tt0057522,nm0292720,director
7476,tt0098189,nm0959746,director
7477,tt0077327,nm0375494,director
7478,tt0077327,nm0105010,director
7479,tt0207161,nm0903232,director
7480,tt0084652,nm0227187,director
7481,tt0119586,nm0001945,director
7482,tt0099136,nm0500896,director
7483,tt0069451,nm0775447,director
7484,tt0088714,nm0958558,director
7485,tt0092794,nm0220652,director
7486,tt0102674,nm0775652,director
7487,tt0116587,nm0145684,director
7488,tt0116587,nm0478418,director
7489,tt0079144,nm0483625,director
7490,tt0068206,nm0023747,director
7491,tt0129923,nm0000940,director
7492,tt0102136,nm0029242,director
7493,tt0093006,nm0000382,director
7494,tt0067168,nm0425593,director
7495,tt0065820,nm0340981,director
7496,tt0059837,nm0002016,director
7497,tt0069179,nm0542702,director
7498,tt0075744,nm0798717,director
7499,tt0095903,nm0638913,director
7500,tt0082263,nm0827854,director
7501,tt0096953,nm0111837,director
7502,tt0100079,nm0017004,director
7503,tt0059477,nm0000540,director
7504,tt0078300,nm0587479,director
7505,tt0083006,nm0001587,director
7506,tt0077295,nm0653620,director
7507,tt0066939,nm0739298,director
7508,tt0119467,nm0071611,director
7509,tt0075834,nm0595752,director
7510,tt0097195,nm0046282,director
7511,tt0059499,nm0491626,director
7512,tt0089091,nm0001090,director
7513,tt0068394,nm0502391,director
7514,tt0218088,nm2406112,director
7515,tt0085400,nm0849609,director
7516,tt0076417,nm0438279,director
7517,tt0069516,nm0404606,director
7518,tt0090769,nm0418986,director
7519,tt0068698,nm0191685,director
7520,tt0090223,nm0005570,director
7521,tt0065570,nm0347086,director
7522,tt0074829,nm0224315,director
7523,tt0084171,nm0069547,director
7524,tt0066130,nm0724798,director
7525,tt0098407,nm0874096,director
7526,tt0059453,nm0542720,director
7527,tt0085226,nm0730237,director
7528,tt0089034,nm0005711,director
7529,tt0054734,nm0335093,director
7530,tt0079449,nm0357807,director
7531,tt0098175,nm0599214,director
7532,tt0070083,nm0220227,director
7533,tt0084540,nm0092372,director
7534,tt0059565,nm0001031,director
7535,tt0059565,nm0234749,director
7536,tt0059565,nm0000419,director
7537,tt0059565,nm0689554,director
7538,tt0083625,nm0001128,director
7539,tt0074515,nm0772522,director
7540,tt0068306,nm0169540,director
7541,tt0070116,nm0730237,director
7542,tt0079808,nm0562699,director
7543,tt0186725,nm0946638,director
7544,tt0053570,nm0682881,director
7545,tt0068724,nm0479721,director
7546,tt0105577,nm0001188,director
7547,tt0075922,nm0296651,director
7548,tt0056308,nm0319148,director
7549,tt0102428,nm0843640,director
7550,tt0072960,nm0164037,director
7551,tt0076252,nm0419019,director
7552,tt0072665,nm0000953,director
7553,tt0057176,nm0730237,director
7554,tt0064390,nm0959916,director
7555,tt0064148,nm0496746,director
7556,tt0200740,nm0557945,director
7557,tt0061796,nm0695937,director
7558,tt0077427,nm0001202,director
7559,tt0077427,nm0116753,director
7560,tt0077427,nm0167043,director
7561,tt0077427,nm0460176,director
7562,tt0060188,nm0789033,director
7563,tt0181322,nm0583754,director
7564,tt0075975,nm0767110,director
7565,tt0100931,nm0704164,director
7566,tt0157117,nm0510816,director
7567,tt0150143,nm0449868,director
7568,tt0112710,nm0599214,director
7569,tt0142772,nm0871535,director
7570,tt0102667,nm0005645,director
7571,tt0080062,nm0562251,director
7572,tt0062446,nm0210811,director
7573,tt0067658,nm0000339,director
7574,tt0112844,nm0759410,director
7575,tt0088255,nm0042849,director
7576,tt0055988,nm0000740,director
7577,tt0066016,nm0397220,director
7578,tt0064591,nm0889513,director
7579,tt0066540,nm0742341,director
7580,tt0165384,nm0205169,director
7581,tt0067040,nm0730237,director
7582,tt0083365,nm0883609,director
7583,tt0106850,nm0504495,director
7584,tt0103168,nm0432040,director
7585,tt0080485,nm0496746,director
7586,tt0061198,nm0901138,director
7587,tt0105526,nm0002089,director
7588,tt0073691,nm0681617,director
7589,tt0073691,nm0844326,director
7590,tt0105120,nm0873385,director
7591,tt0066900,nm0910737,director
7592,tt0062636,nm0598855,director
7593,tt0099520,nm0718554,director
7594,tt0076470,nm0002216,director
7595,tt0057598,nm0001351,director
7596,tt0120213,nm0446060,director
7597,tt0106476,nm0317411,director
7598,tt0060287,nm0320637,director
7599,tt0128364,nm0423228,director
7600,tt0061971,nm0621540,director
7601,tt0092802,nm0077000,director
7602,tt0083099,nm0000921,director
7603,tt0071688,nm0079906,director
7604,tt0107147,nm0927296,director
7605,tt0087520,nm0002216,director
7606,tt0110171,nm0219136,director
7607,tt0202154,nm0605245,director
7608,tt0075848,nm0274659,director
7609,tt0114790,nm0912224,director
7610,tt0059015,nm0598102,director
7611,tt0095496,nm0069074,director
7612,tt0119935,nm0005614,director
7613,tt0065360,nm0625680,director
7614,tt0134057,nm0490721,director
7615,tt0122573,nm0839268,director
7616,tt0085514,nm0002189,director
7617,tt0086497,nm0614276,director
7618,tt0117898,nm0643422,director
7619,tt0060538,nm0173728,director
7620,tt0112993,nm0743093,director
7621,tt0248661,nm0205014,director
7622,tt0137079,nm0040248,director
7623,tt0071838,nm0452134,director
7624,tt0071838,nm0000044,director
7625,tt0196223,nm0160952,director
7626,tt0110958,nm0002191,director
7627,tt0090251,nm0330028,director
7628,tt0063477,nm0800140,director
7629,tt0102436,nm0088397,director
7630,tt0070568,nm0677880,director
7631,tt0104575,nm0365001,director
7632,tt0088689,nm0001501,director
7633,tt0059431,nm0232902,director
7634,tt0083144,nm0376101,director
7635,tt0095981,nm0265564,director
7636,tt0058649,nm0187769,director
7637,tt0140603,nm0778633,director
7638,tt0054325,nm0840671,director
7639,tt0077357,nm0908103,director
7640,tt0082927,nm0729626,director
7641,tt0114466,nm0619475,director
7642,tt0079517,nm0767022,director
7643,tt0055763,nm0286578,director
7644,tt0101844,nm0363553,director
7645,tt0107511,nm0019242,director
7646,tt0108290,nm0496312,director
7647,tt0086276,nm0233050,director
7648,tt0086276,nm0640126,director
7649,tt0216689,nm0000801,director
7650,tt0054668,nm0882190,director
7651,tt0067699,nm0415617,director
7652,tt0054395,nm0901138,director
7653,tt0097756,nm0829343,director
7654,tt0109529,nm0567680,director
7655,tt0073317,nm0002045,director
7656,tt0118763,nm0269502,director
7657,tt0079753,nm0703689,director
7658,tt0075682,nm0728271,director
7659,tt0083203,nm0034899,director
7660,tt0144604,nm0836610,director
7661,tt0056526,nm0001207,director
7662,tt0234748,nm0483053,director
7663,tt0094105,nm0496312,director
7664,tt0111054,nm0010012,director
7665,tt0178043,nm0112498,director
7666,tt0212910,nm0145309,director
7667,tt0066844,nm0049728,director
7668,tt0177749,nm0246903,director
7669,tt0059930,nm0002153,director
7670,tt0056017,nm0000037,director
7671,tt0097051,nm0778633,director
7672,tt0074423,nm0173728,director
7673,tt0054243,nm0091430,director
7674,tt0055318,nm0171050,director
7675,tt0223832,nm0208854,director
7676,tt0093113,nm0743962,director
7677,tt0167886,nm0740021,director
7678,tt0084085,nm0161717,director
7679,tt0069279,nm0823630,director
7680,tt0083611,nm0841456,director
7681,tt0064186,nm0502391,director
7682,tt0067637,nm0160108,director
7683,tt0089656,nm0246903,director
7684,tt0067216,nm0001239,director
7685,tt0083947,nm0003593,director
7686,tt0072206,nm0354247,director
7687,tt0058561,nm0000339,director
7688,tt0059377,nm0001811,director
7689,tt0164983,nm0593014,director
7690,tt0100881,nm0002086,director
7691,tt0056470,nm0836328,director
7692,tt0082893,nm0146960,director
7693,tt0188128,nm0837406,director
7694,tt0067963,nm0000682,director
7695,tt0060263,nm0889513,director
7696,tt0066997,nm0000953,director
7697,tt0086244,nm0297935,director
7698,tt0070133,nm0152569,director
7699,tt0088066,nm0935382,director
7700,tt0062859,nm0542649,director
7701,tt0097971,nm0557751,director
7702,tt0084591,nm0589228,director
7703,tt0061333,nm0624809,director
7704,tt0071696,nm0297935,director
7705,tt0069158,nm0001715,director
7706,tt0201538,nm0547017,director
7707,tt0072813,nm0908103,director
7708,tt0243465,nm0387122,director
7709,tt0069690,nm0851752,director
7710,tt0069690,nm0851754,director
7711,tt0069515,nm0625680,director
7712,tt0082275,nm0889513,director
7713,tt0072409,nm0608575,director
7714,tt0056016,nm0491852,director
7715,tt0062155,nm0914386,director
7716,tt0085473,nm0437596,director
7717,tt0063835,nm0946638,director
7718,tt0187601,nm0003508,director
7719,tt0060186,nm0550892,director
7720,tt0071557,nm0320510,director
7721,tt0054296,nm0445650,director
7722,tt0088157,nm0169540,director
7723,tt0103128,nm0485273,director
7724,tt0064310,nm0723629,director
7725,tt0122642,nm0000853,director
7726,tt0062690,nm0596261,director
7727,tt0059143,nm0038895,director
7728,tt0076935,nm0945282,director
7729,tt0143012,nm0849080,director
7730,tt0073496,nm0670282,director
7731,tt0061401,nm0001471,director
7732,tt0211900,nm0088397,director
7733,tt0101276,nm0672546,director
7734,tt0059390,nm0002153,director
7735,tt0105592,nm0538614,director
7736,tt0108574,nm0118345,director
7737,tt0220157,nm0909735,director
7738,tt0074187,nm0350099,director
7739,tt0067601,nm0404014,director
7740,tt0079063,nm0521334,director
7741,tt0064160,nm0000540,director
7742,tt0071587,nm0681207,director
7743,tt0075852,nm0502391,director
7744,tt0074114,nm0001031,director
7745,tt0092800,nm0742940,director
7746,tt0228871,nm0750259,director
7747,tt0062990,nm0041932,director
7748,tt0108135,nm0001731,director
7749,tt0083102,nm0604335,director
7750,tt0054209,nm0828562,director
7751,tt0054653,nm0588183,director
7752,tt0092723,nm0415422,director
7753,tt0116516,nm0661257,director
7754,tt0174707,nm0557945,director
7755,tt0076516,nm0167195,director
7756,tt0128232,nm0538601,director
7757,tt0234988,nm0350168,director
7758,tt0080802,nm0064593,director
7759,tt0216578,nm0219156,director
7760,tt0065656,nm0198014,director
7761,tt0066639,nm0651915,director
7762,tt0083579,nm0442455,director
7763,tt0091498,nm0651915,director
7764,tt0063661,nm0589228,director
7765,tt0056480,nm0279807,director
7766,tt0066258,nm0716109,director
7767,tt0077952,nm0002045,director
7768,tt0104981,nm0548449,director
7769,tt0056628,nm0440869,director
7770,tt0075999,nm0699962,director
7771,tt0089776,nm0684226,director
7772,tt0067486,nm0717154,director
7773,tt0138681,nm0175020,director
7774,tt0108137,nm0851288,director
7775,tt0206367,nm0636487,director
7776,tt0206367,nm0723704,director
7777,tt0071391,nm0789033,director
7778,tt0066167,nm0002189,director
7779,tt0064240,nm0308524,director
7780,tt0078952,nm0601800,director
7781,tt0070689,nm0740270,director
7782,tt0062868,nm0285302,director
7783,tt0057530,nm0038895,director
7784,tt0082508,nm0669004,director
7785,tt0093347,nm0004488,director
7786,tt0113999,nm0934483,director
7787,tt0063679,nm0678101,director
7788,tt0099166,nm0790144,director
7789,tt0082516,nm0706296,director
7790,tt0068471,nm0689838,director
7791,tt0119561,nm0365057,director
7792,tt0110649,nm0866062,director
7793,tt0082699,nm0297935,director
7794,tt0058917,nm0936823,director
7795,tt0069460,nm0853456,director
7796,tt0096921,nm0764545,director
7797,tt0069808,nm0005196,director
7798,tt0178022,nm0689852,director
7799,tt0057280,nm0557840,director
7800,tt0060879,nm0459017,director
7801,tt0055599,nm0001501,director
7802,tt0104504,nm0000776,director
7803,tt0072831,nm0587741,director
7804,tt0076312,nm0001238,director
7805,tt0141121,nm0393874,director
7806,tt0083925,nm0001031,director
7807,tt0057646,nm0546672,director
7808,tt0132905,nm0728149,director
7809,tt0064405,nm0112218,director
7810,tt0076361,nm0329029,director
7811,tt0056957,nm0514822,director
7812,tt0074225,nm0002030,director
7813,tt0054091,nm0111656,director
7814,tt0081613,nm0418746,director
7815,tt0084728,nm0000788,director
7816,tt0053899,nm0792450,director
7817,tt0068629,nm0297935,director
7818,tt0096189,nm0353592,director
7819,tt0073620,nm0441501,director
7820,tt0100506,nm0001942,director
7821,tt0069237,nm0320510,director
7822,tt0064674,nm0459017,director
7823,tt0113063,nm0002337,director
7824,tt0056093,nm0505610,director
7825,tt0062032,nm0001238,director
7826,tt0077532,nm0002166,director
7827,tt0059114,nm0275034,director
7828,tt0077191,nm0223964,director
7829,tt0097292,nm0281538,director
7830,tt0070794,nm0005570,director
7831,tt0075740,nm0340894,director
7832,tt0070687,nm0780833,director
7833,tt0120790,nm0890367,director
7834,tt0055024,nm0002206,director
7835,tt0055024,nm0597081,director
7836,tt0079709,nm0266668,director
7837,tt0071080,nm0042719,director
7838,tt0144106,nm0246903,director
7839,tt0061893,nm0861703,director
7840,tt0133104,nm0594547,director
7841,tt0060529,nm0873296,director
7842,tt0084845,nm0463740,director
7843,tt0114666,nm0834338,director
7844,tt0095613,nm0001857,director
7845,tt0087818,nm0088397,director
7846,tt0086489,nm0466793,director
7847,tt0086489,nm0842415,director
7848,tt0057924,nm0754575,director
7849,tt0057924,nm0723226,director
7850,tt0086542,nm0720297,director
7851,tt0076944,nm0003085,director
7852,tt0072825,nm0956022,director
7853,tt0060135,nm0232902,director
7854,tt0096936,nm0740029,director
7855,tt0068920,nm0000032,director
7856,tt0072349,nm0856319,director
7857,tt0222150,nm0846119,director
7858,tt0100536,nm0219136,director
7859,tt0056165,nm0001031,director
7860,tt0234041,nm0434806,director
7861,tt0081109,nm0345837,director
7862,tt0140282,nm0455394,director
7863,tt0055279,nm0202681,director
7864,tt0069251,nm0894577,director
7865,tt0068654,nm0013706,director
7866,tt0054367,nm0517597,director
7867,tt0071507,nm0591308,director
7868,tt0088658,nm0003408,director
7869,tt0070299,nm0139239,director
7870,tt0097870,nm0728276,director
7871,tt0054923,nm0920862,director
7872,tt0077450,nm0027183,director
7873,tt0075788,nm0387337,director
7874,tt0095984,nm0535722,director
7875,tt0117351,nm0491671,director
7876,tt0106408,nm0149446,director
7877,tt0085289,nm0092372,director
7878,tt0059649,nm0496746,director
7879,tt0063410,nm0545273,director
7880,tt0105306,nm0001949,director
7881,tt0072030,nm0767022,director
7882,tt0233418,nm0069711,director
7883,tt0167341,nm0631151,director
7884,tt0167341,nm0837608,director
7885,tt0069371,nm0326360,director
7886,tt0116005,nm0393254,director
7887,tt0199905,nm0407489,director
7888,tt0084136,nm0873296,director
7889,tt0074608,nm0041932,director
7890,tt0080917,nm0001204,director
7891,tt0069041,nm0042155,director
7892,tt0058622,nm0867747,director
7893,tt0104693,nm0327064,director
7894,tt0056940,nm0005570,director
7895,tt0095943,nm0767110,director
7896,tt0060049,nm0700659,director
7897,tt0068428,nm0614916,director
7898,tt0103203,nm0778633,director
7899,tt0129659,nm0508998,director
7900,tt0080513,nm0058018,director
7901,tt0102383,nm0775573,director
7902,tt0097487,nm0589228,director
7903,tt0093143,nm0156417,director
7904,tt0068498,nm0765856,director
7905,tt0090322,nm10304264,director
7906,tt0077707,nm0749914,director
7907,tt0088167,nm0496312,director
7908,tt0068659,nm0002049,director
7909,tt0058301,nm0000540,director
7910,tt0069990,nm0671862,director
7911,tt0070869,nm0554632,director
7912,tt0099397,nm0132709,director
7913,tt0056350,nm0319241,director
7914,tt0061093,nm0001471,director
7915,tt0060701,nm0001238,director
7916,tt0064621,nm0285302,director
7917,tt0079920,nm0029242,director
7918,tt0084479,nm0745603,director
7919,tt0083885,nm0748928,director
7920,tt0086104,nm0407061,director
7921,tt0072331,nm0832823,director
7922,tt0057396,nm0851537,director
7923,tt0061594,nm0769874,director
7924,tt0074718,nm0849609,director
7925,tt0060486,nm0651915,director
7926,tt0065911,nm0542720,director
7927,tt0079542,nm0111656,director
7928,tt0094078,nm0069547,director
7929,tt0065019,nm0002189,director
7930,tt0071550,nm0684509,director
7931,tt0060048,nm0936823,director
7932,tt0154587,nm0053484,director
7933,tt0154587,nm0360253,director
7934,tt0055516,nm0124236,director
7935,tt0068491,nm0161002,director
7936,tt0097053,nm0090015,director
7937,tt0110776,nm0496312,director
7938,tt0056966,nm0958801,director
7939,tt0068379,nm0658299,director
7940,tt0068379,nm0918844,director
7941,tt0063084,nm0315222,director
7942,tt0063084,nm0812625,director
7943,tt0064651,nm0168641,director
7944,tt0213905,nm0871086,director
7945,tt0056579,nm0076618,director
7946,tt0141861,nm0475905,director
7947,tt0101529,nm0248420,director
7948,tt0067979,nm0001202,director
7949,tt0072201,nm0000776,director
7950,tt0088934,nm0762674,director
7951,tt0235618,nm0394114,director
7952,tt0068189,nm0314584,director
7953,tt0092173,nm0279926,director
7954,tt0079153,nm0935382,director
7955,tt0100688,nm0267495,director
7956,tt0066212,nm0355991,director
7957,tt0067755,nm0793983,director
7958,tt0077734,nm0173728,director
7959,tt0087852,nm0204471,director
7960,tt0084714,nm0467646,director
7961,tt0065979,nm0943758,director
7962,tt0061087,nm0003836,director
7963,tt0130216,nm0323670,director
7964,tt0078212,nm0529290,director
7965,tt0088222,nm0814570,director
7966,tt0055732,nm0948950,director
7967,tt0060866,nm0005711,director
7968,tt0094709,nm0729626,director
7969,tt0070552,nm0144758,director
7970,tt0057473,nm0865709,director
7971,tt0098252,nm0182276,director
7972,tt0076910,nm0748928,director
7973,tt0082968,nm0376101,director
7974,tt0162662,nm0435677,director
7975,tt0114805,nm0444857,director
7976,tt0068596,nm0908103,director
7977,tt0059633,nm0347086,director
7978,tt0094959,nm0109885,director
7979,tt0076313,nm0001031,director
7980,tt0070326,nm0441540,director
7981,tt0086890,nm0720297,director
7982,tt0093843,nm0006639,director
7983,tt0098052,nm0001428,director
7984,tt0079123,nm0412465,director
7985,tt0069080,nm0728688,director
7986,tt0057813,nm0318150,director
7987,tt0066936,nm0673051,director
7988,tt0060109,nm0557840,director
7989,tt0062760,nm0728688,director
7990,tt0059641,nm0001328,director
7991,tt0064147,nm0514493,director
7992,tt0106911,nm0851752,director
7993,tt0106911,nm0851754,director
7994,tt0101863,nm0506802,director
7995,tt0076808,nm0003606,director
7996,tt0141824,nm0752328,director
7997,tt0054898,nm0501539,director
7998,tt0201922,nm0441526,director
7999,tt0069850,nm0580763,director
8000,tt0067375,nm0338719,director
8001,tt0069186,nm0080576,director
8002,tt0094059,nm0559769,director
8003,tt0096282,nm0747808,director
8004,tt0058336,nm0598723,director
8005,tt0075229,nm0382779,director
8006,tt0079867,nm0376101,director
8007,tt0120381,nm0194274,director
8008,tt0183056,nm0221611,director
8009,tt0069966,nm0548769,director
8010,tt0116334,nm0000419,director
8011,tt0107642,nm0440913,director
8012,tt0218107,nm0787257,director
8013,tt0083743,nm0133426,director
8014,tt0082726,nm0001945,director
8015,tt0218181,nm0001238,director
8016,tt0071949,nm0105693,director
8017,tt0100148,nm0104096,director
8018,tt0229371,nm0425540,director
8019,tt0166314,nm0870313,director
8020,tt0108320,nm0616152,director
8021,tt0081204,nm0889513,director
8022,tt0104874,nm0411631,director
8023,tt0058326,nm0557945,director
8024,tt0078792,nm0175428,director
8025,tt0097871,nm0688585,director
8026,tt0071663,nm0400731,director
8027,tt0085529,nm0088397,director
8028,tt0057200,nm0038906,director
8029,tt0119773,nm0284774,director
8030,tt0084813,nm0000934,director
8031,tt0093427,nm0958183,director
8032,tt0084824,nm0749914,director
8033,tt0083050,nm0756854,director
8034,tt0054172,nm0796645,director
8035,tt0090152,nm0355074,director
8036,tt0189981,nm0765291,director
8037,tt0068954,nm0128764,director
8038,tt0072233,nm0923613,director
8039,tt0076028,nm0823630,director
8040,tt0074952,nm0502391,director
8041,tt0087545,nm0605741,director
8042,tt0076518,nm0223964,director
8043,tt0120494,nm0688544,director
8044,tt0082342,nm0092372,director
8045,tt0060112,nm0589228,director
8046,tt0111216,nm0322785,director
8047,tt0059872,nm0710919,director
8048,tt0063500,nm0515491,director
8049,tt0057069,nm0422484,director
8050,tt0099634,nm0418746,director
8051,tt0054403,nm0400731,director
8052,tt0113314,nm0691078,director
8053,tt0080936,nm0918041,director
8054,tt0082539,nm0029242,director
8055,tt0063091,nm0865709,director
8056,tt0080515,nm0485889,director
8057,tt0097008,nm0557857,director
8058,tt0107561,nm0847259,director
8059,tt0118895,nm0006734,director
8060,tt0111342,nm0898603,director
8061,tt0073841,nm0793983,director
8062,tt0054892,nm0002031,director
8063,tt0092865,nm0219959,director
8064,tt0059241,nm0257992,director
8065,tt0076593,nm0931530,director
8066,tt0085366,nm0264967,director
8067,tt0096852,nm0000694,director
8068,tt0056675,nm0761522,director
8069,tt0163114,nm0000361,director
8070,tt0058621,nm0291035,director
8071,tt0098559,nm0169679,director
8072,tt0081230,nm0125111,director
8073,tt0103337,nm0442455,director
8074,tt0061380,nm0572132,director
8075,tt0054049,nm0038895,director
8076,tt0082816,nm0561813,director
8077,tt0239670,nm0000894,director
8078,tt0106421,nm0223411,director
8079,tt0143088,nm0747613,director
8080,tt0096869,nm0120327,director
8081,tt0056964,nm0918659,director
8082,tt0067118,nm0318150,director
8083,tt0068704,nm0000786,director
8084,tt0065850,nm0439597,director
8085,tt0065850,nm0148599,director
8086,tt0126938,nm0156017,director
8087,tt0203427,nm0243355,director
8088,tt0083734,nm0205370,director
8089,tt0087688,nm0429958,director
8090,tt0108192,nm0407990,director
8091,tt0119548,nm0070142,director
8092,tt0112386,nm0759270,director
8093,tt0057090,nm0542720,director
8094,tt0202153,nm0605245,director
8095,tt0062373,nm0439597,director
8096,tt0071890,nm0001031,director
8097,tt0087260,nm0504513,director
8098,tt0081415,nm0596701,director
8099,tt0058425,nm0400731,director
8100,tt0058425,nm0368871,director
8101,tt0098347,nm0412465,director
8102,tt0087284,nm0006734,director
8103,tt0066806,nm0297935,director
8104,tt0061173,nm0235066,director
8105,tt0083024,nm0957038,director
8106,tt0090679,nm0874096,director
8107,tt0087129,nm0615582,director
8108,tt0073946,nm0019244,director
8109,tt0089269,nm0210472,director
8110,tt0189764,nm0948492,director
8111,tt0075393,nm0000786,director
8112,tt0061784,nm0103975,director
8113,tt0064598,nm0001149,director
8114,tt0064409,nm0441914,director
8115,tt0087317,nm0001348,director
8116,tt0234940,nm0069711,director
8117,tt0114210,nm0104481,director
8118,tt0232114,nm0198765,director
8119,tt0067513,nm0128764,director
8120,tt0071095,nm0320852,director
8121,tt0058019,nm0909825,director
8122,tt0129222,nm0217974,director
8123,tt0072228,nm0662953,director
8124,tt0067503,nm0945455,director
8125,tt0072439,nm0946638,director
8126,tt0087068,nm0546672,director
8127,tt0064000,nm0232795,director
8128,tt0110860,nm0444902,director
8129,tt0076042,nm0003408,director
8130,tt0082476,nm0005680,director
8131,tt0065509,nm0002189,director
8132,tt0070860,nm0463740,director
8133,tt0054095,nm0542702,director
8134,tt0106384,nm0001348,director
8135,tt0084109,nm0006889,director
8136,tt0230098,nm0243666,director
8137,tt0062706,nm0198014,director
8138,tt0155810,nm0912334,director
8139,tt0072067,nm0446059,director
8140,tt0095728,nm0316054,director
8141,tt0084808,nm0001901,director
8142,tt0067602,nm0502391,director
8143,tt0113104,nm0859579,director
8144,tt0111546,nm0684596,director
8145,tt0068990,nm0568535,director
8146,tt0054426,nm0173213,director
8147,tt0146289,nm0728271,director
8148,tt0070289,nm0297523,director
8149,tt0077319,nm0284503,director
8150,tt0187044,nm0845386,director
8151,tt0098224,nm0000727,director
8152,tt0104105,nm0006954,director
8153,tt0061605,nm0804592,director
8154,tt0079655,nm0690597,director
8155,tt0070902,nm0835799,director
8156,tt0075140,nm0001703,director
8157,tt0109900,nm0100365,director
8158,tt0056514,nm0959916,director
8159,tt0057905,nm0819806,director
8160,tt0225458,nm0840651,director
8161,tt0061477,nm0235066,director
8162,tt0082309,nm0222545,director
8163,tt0074849,nm0324995,director
8164,tt0096465,nm0441914,director
8165,tt0089555,nm0002044,director
8166,tt0069243,nm0491626,director
8167,tt0070238,nm0057634,director
8168,tt0063764,nm0838725,director
8169,tt0074083,nm0210130,director
8170,tt0096160,nm0778633,director
8171,tt0092922,nm0089502,director
8172,tt0063569,nm0001486,director
8173,tt0081276,nm0003606,director
8174,tt0055151,nm0736527,director
8175,tt0082042,nm0728688,director
8176,tt0105654,nm0687739,director
8177,tt0067980,nm0343260,director
8178,tt0064073,nm0002086,director
8179,tt0060063,nm0460176,director
8180,tt0062819,nm0006372,director
8181,tt0063161,nm0355032,director
8182,tt0068022,nm0572132,director
8183,tt0071167,nm0071484,director
8184,tt0118870,nm0725983,director
8185,tt0058977,nm0242897,director
8186,tt0054601,nm0542702,director
8187,tt0087722,nm0108745,director
8188,tt0083541,nm0649540,director
8189,tt0083541,nm1099214,director
8190,tt0083541,nm0885077,director
8191,tt0091410,nm0029242,director
8192,tt0059320,nm0840671,director
8193,tt0092797,nm0001031,director
8194,tt0095875,nm0004838,director
8195,tt0120192,nm0928691,director
8196,tt0247419,nm0800533,director
8197,tt0056302,nm0001031,director
8198,tt0068625,nm0006372,director
8199,tt0074437,nm0142587,director
8200,tt0055336,nm0894577,director
8201,tt0094827,nm0593735,director
8202,tt0085375,nm0001471,director
8203,tt0112364,nm0589182,director
8204,tt0062659,nm0144758,director
8205,tt0084340,nm0396136,director
8206,tt0064695,nm0817081,director
8207,tt0239406,nm0439178,director
8208,tt0216911,nm0432040,director
8209,tt0062022,nm0901138,director
8210,tt0094076,nm0812625,director
8211,tt0069358,nm0906709,director
8212,tt0181618,nm0578857,director
8213,tt0133314,nm0073322,director
