,tconst,genres
113,tt0062695,Drame
113,tt0062695,Romance
114,tt6002232,Drame
114,tt6002232,Thriller
115,tt0092550,Comédie
115,tt0092550,Drame
115,tt0092550,Romance
116,tt0064285,Biographie
116,tt0064285,Drame
116,tt0064285,Histoire
117,tt0119590,Drame
118,tt7014378,Aventure
118,tt7014378,Animation
118,tt7014378,Drame
119,tt0096336,Drame
119,tt0096336,Histoire
119,tt0096336,Romance
120,tt0058458,Drame
120,tt0058458,Romance
121,tt3666024,Animation
121,tt3666024,Drame
121,tt3666024,Famille
122,tt0116581,Comédie
122,tt0116581,Drame
123,tt1259014,Action
123,tt1259014,Biographie
123,tt1259014,Crime
124,tt0065772,Drame
124,tt0065772,Romance
125,tt0926759,Drame
126,tt0062083,Comédie
127,tt0792966,Drame
128,tt0073864,Drame
128,tt0073864,Thriller
128,tt0073864,Guerre
129,tt9806192,Animation
129,tt9806192,Drame
129,tt9806192,Fantastique
130,tt0080728,Comédie
130,tt0080728,Romance
131,tt0291172,Drame
131,tt0291172,Mystère
132,tt0110917,Crime
132,tt0110917,Drame
132,tt0110917,Thriller
133,tt0095250,Aventure
133,tt0095250,Drame
133,tt0095250,Sport
134,tt0144201,Comédie
134,tt0144201,Drame
134,tt0144201,Romance
135,tt0055082,Drame
135,tt0055082,Romance
135,tt0055082,Guerre
136,tt0112769,Crime
136,tt0112769,Drame
136,tt0112769,Thriller
137,tt0067778,Comédie
137,tt0067778,Drame
138,tt0450188,Biographie
138,tt0450188,Drame
138,tt0450188,Musique
139,tt0117359,Drame
140,tt0103110,Biographie
140,tt0103110,Drame
140,tt0103110,Histoire
141,tt1320082,Comédie
141,tt1320082,Drame
141,tt1320082,Musique
142,tt0254686,Drame
142,tt0254686,Musique
143,tt1668200,Drame
143,tt1668200,Guerre
144,tt0097635,Drame
144,tt0097635,Romance
145,tt0073198,Drame
146,tt0362225,Crime
146,tt0362225,Drame
146,tt0362225,Mystère
147,tt5029608,Drame
147,tt5029608,Histoire
147,tt5029608,Romance
148,tt0084555,Comédie
149,tt0061138,Drame
149,tt0061138,Romance
150,tt0364517,Comédie
150,tt0364517,Drame
150,tt0364517,Romance
151,tt0099334,Comédie
151,tt0099334,Drame
151,tt0099334,Histoire
152,tt0101428,Drame
153,tt1314280,Drame
154,tt0338135,Comédie
154,tt0338135,Crime
154,tt0338135,Drame
155,tt0074916,Crime
155,tt0074916,Drame
155,tt0074916,Mystère
156,tt0112682,Aventure
156,tt0112682,Drame
156,tt0112682,Fantastique
157,tt0137439,Comédie
157,tt0137439,Drame
157,tt0137439,Romance
158,tt0083789,Biographie
158,tt0083789,Drame
158,tt0083789,Histoire
159,tt19760052,Drame
159,tt19760052,Histoire
159,tt19760052,Romance
160,tt13269580,Drame
161,tt0120449,Drame
162,tt0078907,Comédie
163,tt2053425,Drame
163,tt2053425,Romance
164,tt0074720,Comédie
164,tt0074720,Drame
165,tt10505316,Drame
165,tt10505316,Romance
166,tt1424797,Drame
166,tt1424797,Romance
167,tt0411272,Action
167,tt0411272,Biographie
167,tt0411272,Crime
168,tt1847731,Drame
169,tt14821150,Drame
170,tt0064169,Crime
170,tt0064169,Drame
171,tt0065651,Comédie
171,tt0065651,Drame
171,tt0065651,Romance
172,tt0210727,Drame
173,tt0487419,Drame
174,tt1827512,Drame
175,tt0110963,Biographie
175,tt0110963,Drame
175,tt0110963,Histoire
176,tt0055093,Drame
176,tt0055093,Romance
177,tt0064165,Drame
177,tt0064165,Romance
178,tt0076155,Comédie
178,tt0076155,Drame
178,tt0076155,Romance
179,tt13204490,Drame
