,tconst,liste_realisateurs,liste_acteurs,TitreOriginal,anneeSortie,duree,genres,noteMoyenne,nbVotes,titreVF,types,id,original_language,notePonderee
1874,tt6818118,['nm2927376'],"['nm4374524', 'nm0073384', 'nm3319078', 'nm0522205', 'nm9907308', 'nm11194141', 'nm11194142', 'nm11194143', 'nm11194144', 'nm11194145']",Jumbo,2020,93,"['Drama', 'Fantasy', 'Romance']",6.1,1343,Jumbo,imdbDisplay,510631,fr,4.88
1875,tt0056906,['nm0089958'],"['nm0000086', 'nm0108400', 'nm0785664', 'nm0785664', 'nm0202378', 'nm0867312', 'nm0899403', 'nm0010514', 'nm0036548', 'nm0166432', 'nm0245934']",Carom Shots,1963,88,"['Comedy', 'Crime']",6.1,1069,Carambolages,imdbDisplay,61697,fr,4.88
1876,tt5038358,['nm0596962'],"['nm1460782', 'nm0531195', 'nm0046424', 'nm7976185', 'nm6859272', 'nm0042104', 'nm0759826', 'nm0490734', 'nm2015893', 'nm0238475']",News from Planet Mars,2016,101,"['Comedy', 'Drama']",6.1,1363,Des nouvelles de la planète Mars,imdbDisplay,380879,fr,4.88
1877,tt2098628,['nm1356951'],"['nm0512071', 'nm1904769', 'nm1331316', 'nm0557859', 'nm0705005', 'nm3646923', 'nm0483508', 'nm0752294', 'nm1687610', 'nm1505423']",Augustine,2012,102,"['Biography', 'Drama', 'History']",6.1,1668,Augustine,imdbDisplay,127856,fr,4.88
1878,tt15091284,['nm5754818'],"['nm7477145', 'nm9150310', 'nm2582373', 'nm2582373', 'nm0856376', 'nm3153293', 'nm0864394', 'nm0193191', 'nm12407617', 'nm1092208', 'nm0410473']",Pil's Adventures,2021,89,"['Adventure', 'Animation', 'Family']",6.1,1369,Pil,imdbDisplay,676705,fr,4.88
1879,tt0069237,['nm0320510'],"['nm0000901', 'nm0001012', 'nm0176039', 'nm0524468', 'nm0524468', 'nm0609526', 'nm0678982', 'nm0110274', 'nm0582312', 'nm0119411', 'nm0146034']",Scoumoune,1972,101,"['Crime', 'Drama']",6.1,1297,La Scoumoune,imdbDisplay,57539,fr,4.88
1880,tt13308316,['nm2873161'],"['nm0387012', 'nm2873161', 'nm8066528', 'nm1417692', 'nm1932229', 'nm4317753', 'nm0108033', 'nm0239460', 'nm1833753', 'nm6235242']",Babysitter,2022,87,"['Comedy', 'Drama', 'Mystery']",6.1,1644,Babysitter,imdbDisplay,764837,fr,4.88
1881,tt3774092,['nm0775447'],"['nm0445715', 'nm0726262', 'nm0004486', 'nm0456280', 'nm0718704', 'nm3325981', 'nm1233940', 'nm0343007', 'nm1779130', 'nm5580678']",Amnesia,2015,96,['Drama'],6.1,1214,Amnesia,imdbDisplay,336197,fr,4.88
1882,tt0411117,['nm0078363'],"['nm1385871', 'nm0053903', 'nm1449783', 'nm0778568', 'nm0957193', 'nm0468130', 'nm1135056', 'nm1229839', 'nm1333686', 'nm3215094']",The Ring Finger,2005,104,['Drama'],6.1,1290,L'annulaire,imdbDisplay,46280,fr,4.88
1883,tt1390405,"['nm0488623', 'nm0488626']","['nm0023832', 'nm0296594', 'nm0895759', 'nm0530365', 'nm1202905', 'nm1082020', 'nm0044535', 'nm0670916', 'nm2501308', 'nm0102516']",Happy End,2009,130,"['Comedy', 'Drama', 'Sci-Fi']",6.1,1148,Les derniers jours du monde,imdbDisplay,51866,fr,4.88
